id,label,expiration_date,value,state
055-ct28DdzBEPVyY2j58Uc4Vf,055-ct28DdzBEPVyY2j58Uc4Vf,2022-11-30,20,0
056-hTVgPt4fLSdrJC89M4gkMz,056-hTVgPt4fLSdrJC89M4gkMz,2022-11-30,20,0
057-ixfFmC3NKPeXxYeiKKEEMh,057-ixfFmC3NKPeXxYeiKKEEMh,2022-11-30,20,0
058-MtZFFYR46f7BHF3gbTxrxv,058-MtZFFYR46f7BHF3gbTxrxv,2022-11-30,20,0
059-YiTJ7coyon4zDMsYuUfTTq,059-YiTJ7coyon4zDMsYuUfTTq,2022-11-30,20,0
060-nxUrRdydVYDHtQcs9J9Xax,060-nxUrRdydVYDHtQcs9J9Xax,2022-11-30,20,0
061-bvo2mMbXLVcq2j9JwkEb3M,061-bvo2mMbXLVcq2j9JwkEb3M,2022-11-30,20,0
062-BE3ZnDpR5A24HZLErDgKAM,062-BE3ZnDpR5A24HZLErDgKAM,2022-11-30,20,0
063-c7rwryDGBfqintknZTXhcP,063-c7rwryDGBfqintknZTXhcP,2022-11-30,20,0
064-DLxRNSu65xkAMKvUqnu4ML,064-DLxRNSu65xkAMKvUqnu4ML,2022-11-30,20,0
065-EiBuSUbhuMbVcbnwzpWbdm,065-EiBuSUbhuMbVcbnwzpWbdm,2022-11-30,20,0
066-dubqupB5azdJMrKtqm7VwS,066-dubqupB5azdJMrKtqm7VwS,2022-11-30,20,0
067-XRAFGtoxhR8eCdHErUvcJT,067-XRAFGtoxhR8eCdHErUvcJT,2022-11-30,20,0
068-Na666rkzSeZRkCAFyhyHBR,068-Na666rkzSeZRkCAFyhyHBR,2022-11-30,20,0
069-az2n8XGWc3279jNEm7ws9t,069-az2n8XGWc3279jNEm7ws9t,2022-11-30,20,0
070-jE62xboGGCW4bhhRY3p7jZ,070-jE62xboGGCW4bhhRY3p7jZ,2022-11-30,20,0
071-ZUdFnDzhDLQLRj5m7qLhg9,071-ZUdFnDzhDLQLRj5m7qLhg9,2022-11-30,20,0
072-37yE5CEHkxB5mzkxLQc62A,072-37yE5CEHkxB5mzkxLQc62A,2022-11-30,20,0
073-WMxD6afUZGwHyLsLaRjNLN,073-WMxD6afUZGwHyLsLaRjNLN,2022-11-30,20,0
074-65ckq7PSnuZWSYRVGzncyn,074-65ckq7PSnuZWSYRVGzncyn,2022-11-30,20,0
075-TwQ2Qk8zr4snvx8rfAgjHC,075-TwQ2Qk8zr4snvx8rfAgjHC,2022-11-30,20,0
